month,Year,District,SAFETY,crime
5,2021,3.0,51.9275,966
5,2021,4.0,51.6025,1023
5,2021,5.0,44.3375,878
5,2021,6.0,37.4625,1190
5,2021,7.0,47.575,1017
5,2021,8.0,52.64,1067
5,2021,9.0,53.7275,746
5,2021,10.0,46.09,848
5,2021,11.0,41.2925,1323
5,2021,12.0,53.942499999999995,892
5,2021,14.0,59.1775,578
5,2021,15.0,54.2425,753
5,2021,16.0,64.2,643
5,2021,17.0,61.6725,445
5,2021,18.0,57.037499999999994,756
5,2021,19.0,64.2025,756
5,2021,20.0,68.79,342
5,2021,22.0,53.43,572
5,2021,24.0,61.895,553
5,2021,25.0,60.08166666666667,936
6,2018,1.0,70.5375,1390
6,2018,2.0,53.92,1148
6,2018,3.0,62.64,1164
6,2018,4.0,54.1725,1276
6,2018,5.0,53.6475,1179
6,2018,6.0,59.864999999999995,1502
6,2018,7.0,47.31,1265
6,2018,8.0,59.385,1483
6,2018,9.0,61.585,1050
6,2018,10.0,43.79,1156
6,2018,11.0,58.4975,1726
6,2018,12.0,63.785,1175
6,2018,14.0,63.99,842
6,2018,15.0,51.2425,895
6,2018,16.0,70.25,746
6,2018,17.0,66.7675,673
6,2018,18.0,72.1,1441
6,2018,19.0,68.555,1112
6,2018,20.0,70.345,450
6,2018,22.0,60.2825,808
6,2018,24.0,68.9375,674
6,2018,25.0,58.71333333333333,1093
6,2019,1.0,72.0925,1382
6,2019,2.0,57.6075,1095
6,2019,3.0,47.075,1087
6,2019,4.0,51.4125,1316
6,2019,5.0,46.485,1030
6,2019,6.0,49.65,1568
6,2019,7.0,47.317499999999995,1246
6,2019,8.0,56.2325,1316
6,2019,9.0,56.84,966
6,2019,10.0,53.4275,1077
6,2019,11.0,49.26,1650
6,2019,12.0,60.4675,1165
6,2019,14.0,63.75,960
6,2019,15.0,48.19,890
6,2019,16.0,69.03,719
6,2019,17.0,64.3325,560
6,2019,18.0,70.74,1433
6,2019,19.0,68.1925,1232
6,2019,20.0,68.1,425
6,2019,22.0,60.56,723
6,2019,24.0,66.16499999999999,699
6,2019,25.0,57.678333333333335,1087
6,2020,1.0,62.35,508
6,2020,2.0,58.7525,814
6,2020,3.0,47.465,979
6,2020,4.0,50.4075,1049
6,2020,5.0,53.82,891
6,2020,6.0,56.0225,1226
6,2020,7.0,44.76,1049
6,2020,8.0,54.065,1144
6,2020,9.0,50.3175,805
6,2020,10.0,45.8875,834
6,2020,11.0,47.7475,1283
6,2020,12.0,62.7275,792
6,2020,14.0,56.504999999999995,569
6,2020,15.0,46.379999999999995,813
6,2020,16.0,69.05199999999999,602
6,2020,17.0,62.47,479
6,2020,18.0,61.542500000000004,556
6,2020,19.0,65.6425,779
6,2020,20.0,70.00750000000001,356
6,2020,22.0,61.542500000000004,635
6,2020,24.0,66.64,569
